avg_secchi,roaddensity_density_mperha,GFDL.avg.ann.gdd
1.273618272,59.9015,1908.7623018444135
2.225896296,37.9678,1992.2390725915757
3.751983118,33.541,1816.0164997613583
3.542339277,34.3914,1832.8356019723049
3.235489855,72.6983,2092.774595605889
1.258507742,45.8752,2214.155017167874
0.62185567,32.6897,2231.5603250369536
1.302719735,50.0948,2328.9255913825828
0.558478261,54.8147,2248.806929126112
1.073605522,39.2435,2201.6024154308193
1.898448566,51.1229,2053.747580080611
2.698723268,59.2544,2113.719568706034
2.133528421,109.9689,2268.698210085736
2.622070253,54.8945,2010.4942205775776
4.655283038,27.3331,1832.4032429361623
2.304486007,45.4778,1886.625955829107
2.666774458,37.7049,1746.308883199133
3.076574074,75.4711,1870.0270565326923
2.353666667,32.4903,1748.4162087963257
3.245002198,75.4711,1796.3145353105374
2.644978641,35.2217,1827.362598598864
2.6924,35.2056,1764.9197961251268
2.997572292,58.4443,1859.690500574388
3.909420905,27.6587,1832.108088111844
3.955167273,33.2254,1790.0375598359549
5.343870615,40.0909,1811.1031771555668
3.096254902,44.5934,1807.2586839768803
2.370292408,27.6805,1882.5293846786424
2.334433657,29.3227,1789.9358523822368
3.482405122,29.3227,1789.9358523822368
2.02823,30.0221,1848.1590540399573
3.813155556,18.0134,1819.552328481081
2.488284444,15.8043,1848.1590540399573
3.376936073,36.0916,1822.3073599566424
2.16488,19.0518,1778.5824637183553
2.95439931,10.0108,1861.2376558499952
3.332047664,32.8712,1827.2855151474068
3.59,25.4363,1822.3073599566424
2.660000296,54.815,1801.690870340122
3.015633793,34.9738,1856.134994617097
3.757906006,53.0268,1784.748105937538
2.9446,88.1549,1833.304366216469
2.532378049,40.1803,1861.7067892822329
3.315811554,43.7931,1714.8699419788795
0.786390981,38.7275,2164.3188663959018
1.493440485,73.1354,2321.1275288938787
1.2991152,65.8484,2260.537094697206
1.350859353,20.2353,2340.884658393714
3.826360935,47.826,1670.3148160061385
2.778178621,76.0069,1697.5955481770889
3.612104455,66.8005,1706.1309766212023
2.220684103,92.216,2320.0399941476994
3.527896552,74.5059,2289.453196483469
1.534992195,126.0616,2319.52554277116
1.438565401,58.2076,2364.775807117707
2.677137166,83.788,2200.5882603162877
2.898924675,25.6257,2312.198421807041
1.457567917,110.723,2350.225785333916
1.476571503,89.2722,2281.003655230704
1.780411765,67.7221,2257.7500072801963
2.168862253,69.6609,2232.3089575849294
0.79807218,4.9428,2412.8633964296428
2.878928462,40.9,2142.6439461249197
1.067381643,18.1459,2253.8472566924665
1.208,2.9742,2214.610661273532
1.6764,31.4563,2219.1113797496055
2.742178218,31.4563,2219.1113797496055
1.603873874,47.9126,2303.332874532638
2.200882353,64.3282,2248.2764147503917
1.989560976,68.87,2292.4815664056687
1.275933409,45.0392,2231.252125225932
1.690663725,35.0387,2223.8014313089006
2.575627976,29.2657,2210.1279053814337
2.66085913,22.3999,2247.419309252313
2.542670505,77.877,2238.6132689104356
1.625412903,77.0026,2305.8925149339107
1.483132222,38.0517,2359.3803144684575
0.656095041,24.8976,2276.727554612028
1.13098961,25.3988,2397.7194386327383
0.502546584,83.5571,2407.379307688195
0.952101064,134.1676,2380.027233319957
3.132666667,42.0876,1935.341123966964
3.907021424,42.9057,1924.936299049601
3.323991379,15.8709,1845.9900045242157
4.401081928,58.7442,1853.933193072699
2.322061538,16.4794,1732.12687295094
2.810240606,31.4444,1862.1882266672112
2.835809855,42.549,1991.2800886973284
2.8967875,40.768,1991.2800886973284
2.534444444,24.583,1991.2800886973284
1.585073289,53.7987,1991.2800886973284
4.217837073,42.4185,1836.9558335380548
5.683223621,60.5099,1746.4714083916726
4.547634286,36.0916,1741.7161189669955
3.913847574,45.0482,1788.6920318270295
1.29032,69.7822,2150.10081894379
1.617435219,65.8926,2117.6022041946326
2.58152,94.29,2150.10081894379
2.727339592,85.0612,2147.181996765209
1.34112,59.167,2225.1147622431754
1.676807066,47.079,2153.178716318428
1.674672131,51.8488,2149.4902262216574
3.227443721,54.7363,2030.9493017761315
1.71704,29.7304,2143.620484933794
3.137236364,5.3236,1869.144627279488
3.076571969,101.1057,1772.1058320489983
3.0108,10.6668,1334.125243970817
4.753024533,19.954,1383.2807672166937
2.70824,9.6534,1427.0962217870783
5.438945455,0.156,1323.1895580852622
4.588785172,14.9628,1343.3463706589157
4.181933333,0.1571,1397.104086170442
3.01294363,44.0453,1505.8726564832805
5.617156522,22.0089,1476.5611027273362
4.773283761,18.2754,1382.4079922303952
4.390224726,58.6131,1851.697704197859
3.76381106,32.691,1917.160642014392
4.9276,44.3127,1923.504395358739
4.322330435,32.323,1923.504395358739
3.815045685,42.1416,1923.504395358739
4.58411866,119.9252,1951.396637494788
2.19342385,44.2378,2000.1128859464957
3.118538182,33.311,2009.8101335029153
3.60024,15.3924,2002.8367438131015
2.282021333,86.2031,2040.076507038082
1.724035714,25.7684,2002.9017185389316
1.592363842,49.2235,2013.6229263660648
5.241206504,42.2696,1891.803377211979
3.342362483,31.4841,1981.2255776509728
2.883679918,24.1841,2000.5011601699716
3.243943662,29.0417,1754.5435932810958
2.830850413,30.2771,1897.710944808002
4.353151648,54.4162,1897.710944808002
2.651096154,54.5322,1897.710944808002
4.303095502,61.3463,1907.396725284842
5.198569281,62.903,1879.7744831779537
3.298685712,30.7926,1897.710944808002
4.303714286,45.3602,1897.710944808002
4.013248,63.5738,1897.710944808002
4.341953271,47.6807,1897.710944808002
4.2164,87.4742,1942.5056898830635
5.44638033,40.3373,1956.477350150531
3.917602469,32.2135,1897.710944808002
3.668894382,37.9752,1897.710944808002
4.320764835,40.1336,1897.710944808002
4.896706667,42.9196,1935.1682830558148
2.241877778,11.459,1897.710944808002
4.354277229,57.0502,1841.4793662213256
3.27244882,83.3935,1987.1185384804285
2.896766026,52.2278,2002.034523300725
4.541807746,59.5022,2042.516016716296
3.858911184,36.4583,1946.9763109939552
4.492374026,38.4153,1897.710944808002
3.421818993,97.1958,1955.778398627132
2.942133333,39.6857,2001.7961928149973
2.8652,45.3259,1991.2800886973284
2.3918,80.9011,1991.2800886973284
3.905236379,63.0523,1946.9763109939552
2.312960677,41.0234,2026.4500777396304
6.97992,28.5816,1985.2577054639917
9.0678,28.5816,1880.7168477778532
10.88,28.5816,1907.7959133759105
10.88,28.5816,1880.7168477778532
10.88,28.5816,1880.7168477778532
11.7348,18.6657,2060.615597205704
0.6248,66.9898,2316.2522578563917
0.31,73.1826,2545.3579184679124
0.7619836,34.0797,2188.846585003778
0.918167203,85.5335,2426.161779825723
1.146863469,77.6221,2361.958349574916
2.7432,63.816,2313.0583143959643
1.98214527,92.6389,2214.7924281906517
2.571705112,44.2011,2215.817415191685
1.955112195,104.1512,2350.721789092385
1.66660098,76.7696,2365.713594118737
3.679050794,37.3234,2304.4090437611353
1.391927737,90.806,2395.3512428337312
1.874242424,9.7142,2331.1115226866264
2.439264706,19.0464,2340.922391311655
1.840947778,49.6204,2355.0666588509753
3.467823529,85.1868,2274.45924008527
3.374182564,48.1773,1965.3071947146611
3.302962543,71.9184,1899.5500540039784
3.321019827,62.5461,1998.3804799633535
1.759939003,29.4784,2040.9154803686904
3.545205446,67.0541,1895.935008239521
4.240989029,49.6396,1890.1026368023615
2.582881146,35.9657,1948.4114338385248
3.396240908,35.2551,1965.2592899113024
3.723580926,69.4655,1895.2128656651648
3.778726025,33.0531,1869.5750399703163
2.791264723,30.0683,1925.1600001097447
1.856152809,21.1085,1939.9248454750789
2.153136207,33.1861,1960.6059145167617
2.401,37.9007,1895.2128656651648
2.716216667,47.6689,1990.535807859236
3.137430894,22.5438,1990.43314280675
3.720473529,27.8395,1779.0383230478917
3.218243284,37.7545,1940.2781177172585
4.019021538,61.5905,1966.82929174467
3.636026087,35.6676,1779.0383230478917
4.1148,60.3518,1947.8292836675532
3.548489552,38.4945,1889.3718445959555
2.529,17.2394,1889.805594280356
4.079306803,40.1846,1890.1862678760551
2.418737778,16.0701,1972.2157636508148
2.078150289,30.4775,2021.360708937889
2.7432,40.4136,1984.7901219668368
3.723582873,26.5723,1959.7792722101383
3.083651429,30.7304,2010.6974632270649
2.53524631,34.2202,1877.868069143259
2.1209,17.9185,2037.1811652827716
1.34112,18.7338,1877.868069143259
2.493869307,12.5466,1987.7752863898788
2.271500559,22.8944,1967.5919999643895
2.619888344,25.7729,1992.6349864660256
1.793965714,24.4087,2016.1314842197232
1.627824,23.5652,2008.7366626728317
1.068496063,38.495,2382.671550218967
1.991696744,38.6108,1994.6069558028776
1.59532,52.1829,2026.4173988306384
1.124089712,32.0378,2000.8539064443305
1.63068,53.1972,2239.1804649824335
0.971640764,127.3471,2400.975957975773
3.357442975,130.0251,2298.586152537378
1.475342122,94.7058,2357.4022294991705
1.316197023,126.6005,2390.3157810974258
0.431818182,118.2152,2525.1116005326735
3.894768047,110.5677,2270.178710378387
2.136626812,89.2272,2304.209762664707
2.385199375,133.9321,2324.732451566804
1.68919,129.0236,2373.953453884513
1.5494,99.9197,2403.805563875791
3.035027778,60.0751,2281.614668271878
2.112583333,59.3242,2292.2781389600427
1.708861489,120.0002,2354.492709747521
5.115182524,104.7277,2348.717502972487
0.83356175,64.0861,2440.4589366384603
1.64,70.0713,2373.716423247609
1.528961814,88.0577,2356.9731761143994
2.160246154,100.1694,2340.2001319752308
1.794937626,90.5821,2320.8661588884356
2.7703374099999998,94.9614,2248.5405199237407
1.996732921,84.6445,2285.276381224765
1.193841667,31.8155,2320.3663509696544
2.827128125,97.2299,2204.835374822943
1.629018901,95.5601,2304.587945706827
2.8738576,82.026,2360.9934962632487
3.488418079,62.8254,2249.44164173101
3.556056338,60.6226,2249.44164173101
3.756381579,92.5015,2249.44164173101
5.84948878,73.3938,2197.601890049212
1.151054217,35.1995,2398.4663772683343
1.4,110.2328,2447.672926419892
1.227880588,81.9259,2340.213133869352
1.810116312,28.3148,2231.4202091854227
3.81,24.5026,2202.604431466487
1.300968302,58.0708,2277.759001389744
0.788846154,107.1762,2333.736541247938
1.0287,14.8031,2334.999971940593
0.47754386,33.2341,2431.7191889648125
0.816864,34.6677,2256.612736404429
1.542739044,34.6677,2256.612736404429
1.297797101,34.6677,2256.612736404429
1.729205602,31.6293,2284.008389732613
1.528571429,81.196,2337.3411278443305
3.522683721,64.0984,1767.058335447589
3.82049313,58.0623,1743.9195341396148
1.528887066,51.9494,1892.2396251679409
2.360611765,33.3566,1892.2396251679409
2.315985,37.9653,1892.2396251679409
1.343525874,11.8574,1901.8685476366363
2.614439024,52.4331,1946.8248044699344
4.600266222,39.5883,1694.0155063663346
2.05166875,33.1724,1782.907251320561
3.074604975,55.9394,1836.8784284773728
4.66787234,28.4016,1808.1228691468473
3.175925926,53.3747,1818.1655752980732
1.643534239,51.6175,2071.0946881027457
1.7543003129999999,75.0919,1972.9734450240665
0.650674965,70.9308,2263.562115978482
1.158189091,30.3607,2214.562551663392
4.205536,77.0468,2042.4396127942473
1.8519688,61.7294,2093.139585119325
3.105911111,28.5857,1722.628312403328
3.937785366,35.1247,1806.2655551002065
3.768225067,35.1247,1806.2655551002065
5.239635744,49.3448,1735.1366553074374
3.7792,28.8216,1816.7837147011537
2.609725926,68.4633,1873.2032285819448
4.188910112,128.072,1844.4681740159024
4.792315862,64.1234,1817.3725839765816
4.572,9.8727,1616.8082685590616
4.6101,55.7086,1734.6354696416206
2.5918,94.2346,1890.3579099535157
3.172771111,6.7908,1803.485774301052
0.61,7.2988,1730.097230529367
4.058147416,41.3129,1722.3204351053917
2.420172308,21.7539,1813.9069527850816
0.91,0,1818.9322645053896
3.03,33.2023,1798.3911020182636
3.239904189,33.2023,1798.3911020182636
2.825,4.3694,1808.9892079936496
2.948106667,3.1314,1841.211541389564
2.076428571,33.7578,1815.695735431971
0.96,8.5871,1730.3809104093368
2.878559459,36.7086,1739.7804031117794
0.91,0,1882.3037453006043
0.522945161,22.616,2200.223211978316
0.612380658,41.5027,2313.8997600463435
0.888031333,27.5183,2222.7503806727123
0.66602,35.6086,2027.4955013175304
0.479175789,35.9402,2272.82114047878
1.061242409,49.6077,2024.1498506210305
1.952318857,46.4028,2169.5077234978457
1.414248763,34.6453,2082.066606205796
3.74181858,91.891,2076.689251114549
3.755335229,65.1498,2136.375647048485
3.80675392,52.3481,2063.6275831911753
3.862976895,79.7803,2110.1713253291327
2.319991258,68.3543,2080.5335168083448
2.218226036,87.0372,2159.9356584862985
2.897784615,56.9242,2164.1400023095475
2.932885854,25.9675,2140.126630167532
2.298534347,39.8062,2070.042836339607
0.98298,27.6919,2083.924567407383
0.530352,24.0711,2194.988456548002
3.309527053,0,1658.7693257461897
1.7272,0,1640.5611984921543
1.759186885,37.0853,1705.365989805132
2.762704033,0,1687.7955633341255
1.3073104,30.4496,2325.2236945298705
1.276628955,68.9313,2319.4656512586607
1.787206184,67.703,2276.6536622751
1.237417971,88.5751,2347.629192505508
2.313318222,83.7379,2237.7008318705643
1.614943182,48.5647,2328.222880735639
1.7952689,49.4781,2158.235498687987
1.106397473,56.1054,2362.914121252416
